Ability Technology Limited;PEARCE;;"+610299079736
(00) 00000000";www.ability.org.au;info@ability.org.au;6 Hodgson Place, PEARCE, ACT, 2607
;;Therapeutic Supports;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
Technical Aid to the Disabled (ACT) Incorporated;HOLDER;Assess-Skill, Ability, Needs;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assist Prod-Pers Care/Safety;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assistive Equip-Recreation;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assistive Prod-Household Task;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Comms & Info Equipment;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Equipment Special Assess Setup;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Home Modification;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Other Innovative Supports;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Personal Mobility Equipment;;www.tadact.org.au;info@tadact.org.au;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
The Centre for Applied Behaviour Analysis;BRADDON;Assess-Skill, Ability, Needs;"+611800800560
0000 000 000";www.thecaba.com.au;geoff@thecaba.com.au;28 Torrens Street, BRADDON, ACT, 2612
;;Behaviour Support;+6118008005600 000 000 000;www.thecaba.com.au;geoff@thecaba.com.au;28 Torrens Street, BRADDON, ACT, 2612
;;Therapeutic Supports;+6118008005600 000 000 000;www.thecaba.com.au;geoff@thecaba.com.au;28 Torrens Street, BRADDON, ACT, 2612
The Cram Foundation;SHELLHARBOUR CITY CENTRE;;610242556900;www.cramfoundation.com.au;ceo@cramfoundation.com.au;7/75 Cygnet Ave, SHELLHARBOUR CITY CENTRE, NSW, 2529
The Deaf Society of NSW;NEWCASTLE;;;;;133 King Street, NEWCASTLE, NSW, 2300
The Northcott Society;BELCONNEN;Accommodation/Tenancy;"+610262516444
(00) 00000000";www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Assess-Skill, Ability, Needs;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Assist Access/Maintain Employ;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Assistive Equip-Recreation;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Assist-Life Stage, Transition;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Assist-Personal Activities;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Assist-Travel/Transport;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Behaviour Support;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Comms & Info Equipment;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Daily Tasks/Shared Living;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Development-Life Skills;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Early Childhood Supports;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Equipment Special Assess Setup;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Household Tasks;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Other Innovative Supports;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Participate Community;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Personal Mobility Equipment;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Therapeutic Supports;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
;;Training-Travel Independence;+610262516444(00) 00000000;www.northcott.com.au;ndis@northcott.com.au;6/80 Emu Bank, BELCONNEN, ACT, 2617
The Shepherd Centre - for deaf children;RIVETT;Assess-Skill, Ability, Needs;610293704401;www.shepherdcentre.org.au;accounts@shepherdcentre.org.au;Nealie Place, RIVETT, ACT, 2611
;;Assist-Integrate School/Ed;610293704401;www.shepherdcentre.org.au;accounts@shepherdcentre.org.au;Nealie Place, RIVETT, ACT, 2611
;;Assist-Life Stage, Transition;610293704401;www.shepherdcentre.org.au;accounts@shepherdcentre.org.au;Nealie Place, RIVETT, ACT, 2611
;;Development-Life Skills;610293704401;www.shepherdcentre.org.au;accounts@shepherdcentre.org.au;Nealie Place, RIVETT, ACT, 2611
;;Early Childhood Supports;610293704401;www.shepherdcentre.org.au;accounts@shepherdcentre.org.au;Nealie Place, RIVETT, ACT, 2611
;;Therapeutic Supports;610293704401;www.shepherdcentre.org.au;accounts@shepherdcentre.org.au;Nealie Place, RIVETT, ACT, 2611
The trustee for Ausco Trust;QUEANBEYAN EAST;Assist Prod-Pers Care/Safety;;lightningmobility.com.au;;9 Aurora Ave, QUEANBEYAN EAST, NSW, 2620
;;Other Innovative Supports;;lightningmobility.com.au;;9 Aurora Ave, QUEANBEYAN EAST, NSW, 2620
;;Personal Mobility Equipment;;lightningmobility.com.au;;9 Aurora Ave, QUEANBEYAN EAST, NSW, 2620
The Trustee for Nelson Family Trust;FYSHWICK;Accommodation/Tenancy;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Assist-Integrate School/Ed;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Assist-Life Stage, Transition;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Assist-Personal Activities;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Assist-Travel/Transport;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Daily Tasks/Shared Living;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Development-Life Skills;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Household Tasks;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Participate Community;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Physical Wellbeing;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Plan Management;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
;;Training-Travel Independence;610262804070;www.justbettercare.com;fergus@justbettercare.com;Unit 8, 41-45 Tennant Street, FYSHWICK, ACT, 2609
The Trustee for Recruitment Solutions Group Australia Trust;NORTH SYDNEY;Assist-Personal Activities;610262902499;www.actnursingservice.com.au;enquiry@actnursingservice.com.au;Level 15, 140 Arthur Street, NORTH SYDNEY, NSW, 2060
;;Community Nursing Care;610262902499;www.actnursingservice.com.au;enquiry@actnursingservice.com.au;Level 15, 140 Arthur Street, NORTH SYDNEY, NSW, 2060
;;Daily Tasks/Shared Living;610262902499;www.actnursingservice.com.au;enquiry@actnursingservice.com.au;Level 15, 140 Arthur Street, NORTH SYDNEY, NSW, 2060
;;Household Tasks;610262902499;www.actnursingservice.com.au;enquiry@actnursingservice.com.au;Level 15, 140 Arthur Street, NORTH SYDNEY, NSW, 2060
;;Participate Community;610262902499;www.actnursingservice.com.au;enquiry@actnursingservice.com.au;Level 15, 140 Arthur Street, NORTH SYDNEY, NSW, 2060
The Trustee for Stanton Family Trust;KALEEN;;610262554301;;australlianot@optusnet.com.au;4 Lyndon St, KALEEN, ACT, 2617
The Trustee for The Assistive Technology Centre Trust;HAWKER;Assess-Skill, Ability, Needs;610427484347;www.atcentre.com.au;kath.proudfoot@atcentre.com;Suite 5 Birubi Chambers, 121 Hawker Place, HAWKER, ACT, 2614
;;Early Childhood Supports;610427484347;www.atcentre.com.au;kath.proudfoot@atcentre.com;Suite 5 Birubi Chambers, 121 Hawker Place, HAWKER, ACT, 2614
;;Equipment Special Assess Setup;610427484347;www.atcentre.com.au;kath.proudfoot@atcentre.com;Suite 5 Birubi Chambers, 121 Hawker Place, HAWKER, ACT, 2614
;;Therapeutic Supports;610427484347;www.atcentre.com.au;kath.proudfoot@atcentre.com;Suite 5 Birubi Chambers, 121 Hawker Place, HAWKER, ACT, 2614
The Young Men's Christian Association of Canberra;YARRALUMLA;Participate Community;"+610262810124
(00) 00000000";www.canberra.ymca.org.au;yfitness.can@ymca.org.au;ADDRESS CONFIDENTIAL
;;Physical Wellbeing;+610262810124(00) 00000000;www.canberra.ymca.org.au;yfitness.can@ymca.org.au;ADDRESS CONFIDENTIAL
Therapeutic Welfare Interventions Pty Ltd;NARRABUNDAH;;610262956255;www.twi.org.au;office@twi.org.au;Unit 4, 59 Boolimba Crescent, NARRABUNDAH, ACT, 2604
Total Mobility Solutions (ACT) Pty Ltd;HUME;Assist Prod-Pers Care/Safety;;;;UNIT 2, 21 RAWS CRESCENT, HUME, ACT, 2620
;;Personal Mobility Equipment;;;;UNIT 2, 21 RAWS CRESCENT, HUME, ACT, 2620
Trustees of the Roman Catholic Church for the Archdiocese of Canberra and Goulbu;NARRABUNDAH;Assess-Skill, Ability, Needs;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Assist-Integrate School/Ed;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Assist-Life Stage, Transition;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Assist-Personal Activities;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Assist-Travel/Transport;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Daily Tasks/Shared Living;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Development-Life Skills;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Participate Community;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Physical Wellbeing;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Plan Management;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
;;Training-Travel Independence;;www.marymead.org.au;hilary.martin@marymead.org.au;255 Goyder St, NARRABUNDAH, ACT, 2604
UnitingCare NSW.ACT;NORTH PARRAMATTA;Assist-Life Stage, Transition;611300883430;www.unitingcaredisability.org.au;disability@unitingcarenswact.org.au;ADDRESS CONFIDENTIAL
;;Daily Tasks/Shared Living;611300883430;www.unitingcaredisability.org.au;disability@unitingcarenswact.org.au;ADDRESS CONFIDENTIAL
Upshall, Helen;DOWNER;Assist-Life Stage, Transition;"+610431429555
0000 000 000";www.helenupshallcounselling.com/;helen@helenupshallcounselling.com;22 Durack Street, DOWNER, ACT, 2602
;;Therapeutic Supports;+6104314295550 000 000 000;www.helenupshallcounselling.com/;helen@helenupshallcounselling.com;22 Durack Street, DOWNER, ACT, 2602
Vagg, Jessica;FRASER;Assess-Skill, Ability, Needs;610421784932;;bluenotemusictherapy@gmail.com;45 Dunbar Street, FRASER, ACT, 2615
;;Therapeutic Supports;610421784932;;bluenotemusictherapy@gmail.com;45 Dunbar Street, FRASER, ACT, 2615
Valmar Support Services Limited;TUMUT;Accommodation/Tenancy;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Assist Access/Maintain Employ;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Assist-Integrate School/Ed;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Assist-Life Stage, Transition;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Assist-Personal Activities;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Assist-Travel/Transport;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Daily Tasks/Shared Living;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Development-Life Skills;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Household Tasks;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Participate Community;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
;;Training-Travel Independence;610269474150;www.valmar.com.au;soniagogala@valmar.com.au;75 Capper Street, TUMUT, NSW, 2720
Vision Australia Limited;CANBERRA;Assess-Skill, Ability, Needs;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Assist Access/Maintain Employ;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Assist-Integrate School/Ed;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Assist-Life Stage, Transition;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Comms & Info Equipment;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Early Childhood Supports;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Equipment Special Assess Setup;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Other Innovative Supports;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Participate Community;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Therapeutic Supports;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Training-Travel Independence;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
;;Vision Equipment;;www.visionaustralia.org;info@visionaustralia.org;Level 2, 22 East Row, CANBERRA, ACT, 2601
Volunteering ACT Inc;CANBERRA;;;;;Level 2, 202 City Walk, CANBERRA, ACT, 2601
Wesley Mission Brisbane;CHERMSIDE;Interpret/Translate;611800246945;http://www.nabs.org.au;bookings@nabs.org.au;930 Gympie Rd, CHERMSIDE, QLD, 4032
Whithear, Joanne;LYNEHAM;;;;;7 Hall Street, LYNEHAM, ACT, 2617
Woden Community Service Incorporated;WODEN;Accommodation/Tenancy;;;;26 Corinna Street, WODEN, ACT, 2606
;;Assist-Integrate School/Ed;;;;26 Corinna Street, WODEN, ACT, 2606
;;Assist-Life Stage, Transition;;;;26 Corinna Street, WODEN, ACT, 2606
;;Assist-Personal Activities;;;;26 Corinna Street, WODEN, ACT, 2606
;;Assist-Travel/Transport;;;;26 Corinna Street, WODEN, ACT, 2606
;;Daily Tasks/Shared Living;;;;26 Corinna Street, WODEN, ACT, 2606
;;Development-Life Skills;;;;26 Corinna Street, WODEN, ACT, 2606
;;Household Tasks;;;;26 Corinna Street, WODEN, ACT, 2606
;;Participate Community;;;;26 Corinna Street, WODEN, ACT, 2606
;;Physical Wellbeing;;;;26 Corinna Street, WODEN, ACT, 2606
;;Plan Management;;;;26 Corinna Street, WODEN, ACT, 2606
;;Training-Travel Independence;;;;26 Corinna Street, WODEN, ACT, 2606
Wyndham, Annabel Heathcote;DUFFY;;610401351422;;annabelwyndham@optusnet.com.au;12/26 Eungella St, DUFFY, ACT, 2611
Yarrington, Jan;HIGGINS;Assess-Skill, Ability, Needs;;;yarrington@grapevine.com.au;35 Starke St, HIGGINS, ACT, 2615
;;Other Innovative Supports;;;yarrington@grapevine.com.au;35 Starke St, HIGGINS, ACT, 2615
;;Therapeutic Supports;;;yarrington@grapevine.com.au;35 Starke St, HIGGINS, ACT, 2615
ZORTEX ORTHOTICS PTY. LIMITED;CROWS NEST;;610294385003;www.zortexorthotics.com;info@zortexorthotics.com;SHOP 3, 36 HUME ST, CROWS NEST, NSW, 2065
