A.D. Bynon & J.E. Bynon;SORELL;Assess-Skill, Ability, Needs;610362659281;www.growoccupationaltherapy.com.au;admin@growoccupationaltherapy.com.au;Sorell Allied Health Centre, 42 Cole St, SORELL, TAS, 7172
Tim Feely and Associates Pty Ltd;NEWSTEAD;Assess-Skill, Ability, Needs;610363344451;www.timfeely.com.au;admin@timfeely.com.au;169 Elphin Road, NEWSTEAD, TAS, 7250
;;Early Childhood Supports;610363344451;www.timfeely.com.au;admin@timfeely.com.au;169 Elphin Road, NEWSTEAD, TAS, 7250
;;Therapeutic Supports;610363344451;www.timfeely.com.au;admin@timfeely.com.au;169 Elphin Road, NEWSTEAD, TAS, 7250
Tp & WR Curtain Pty Ltd;HOBART;;;;info@surgimed.com.au;83 Brisbane Street, HOBART, TAS, 7053
Tracey Dean;SANDY BAY;;;;tracey@neuropsychtas.com.au;Neuropsychology Tasmania, 22 Gregory Street, SANDY BAY, TAS, 7005
TRS Rehab 4 Life Pty Ltd;INVERMAY;Assist Access/Maintain Employ;"+610363261112
00 00000000";www.trsrehab4life.com.au;admin@trsrehab4life.com.au;287 Invermay Road, INVERMAY, TAS, 7249
;;Assist-Integrate School/Ed;+6103632611120 0 00000000;www.trsrehab4life.com.au;admin@trsrehab4life.com.au;287 Invermay Road, INVERMAY, TAS, 7249
;;Assist-Life Stage, Transition;+6103632611120 0 00000000;www.trsrehab4life.com.au;admin@trsrehab4life.com.au;287 Invermay Road, INVERMAY, TAS, 7249
;;Participate Community;+6103632611120 0 00000000;www.trsrehab4life.com.au;admin@trsrehab4life.com.au;287 Invermay Road, INVERMAY, TAS, 7249
;;Plan Management;+6103632611120 0 00000000;www.trsrehab4life.com.au;admin@trsrehab4life.com.au;287 Invermay Road, INVERMAY, TAS, 7249
;;Therapeutic Supports;+6103632611120 0 00000000;www.trsrehab4life.com.au;admin@trsrehab4life.com.au;287 Invermay Road, INVERMAY, TAS, 7249
van der Wijngaart, Samantha Jane;LAUNCESTON;Assess-Skill, Ability, Needs;610438908331;www.forpsych.com.au;sam@forpsych.com.au;Office 1, 116 York St, LAUNCESTON, TAS, 7250
;;Behaviour Support;610438908331;www.forpsych.com.au;sam@forpsych.com.au;Office 1, 116 York St, LAUNCESTON, TAS, 7250
;;Early Childhood Supports;610438908331;www.forpsych.com.au;sam@forpsych.com.au;Office 1, 116 York St, LAUNCESTON, TAS, 7250
;;Therapeutic Supports;610438908331;www.forpsych.com.au;sam@forpsych.com.au;Office 1, 116 York St, LAUNCESTON, TAS, 7250
Vandenberg, Ana;NEWSTEAD;Assess-Skill, Ability, Needs;;;ana@u-turn.net.au;1 Cypress Street, NEWSTEAD, TAS, 7250
Veranto;WARRANE;Accommodation/Tenancy;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Assistive Equip-Recreation;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Assist-Life Stage, Transition;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Assist-Personal Activities;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Assist-Travel/Transport;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Daily Tasks/Shared Living;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Development-Life Skills;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Household Tasks;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Participate Community;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
;;Training-Travel Independence;;;admin@veranto.org;7 Acorn Drive, WARRANE, TAS, 7018
Victorian Deaf Society;EAST MELBOURNE;;610394731111;www.vicdeaf.com.au;info@senswide.com.au;Level 4, 340 Albert Street, EAST MELBOURNE, VIC, 3002
Vincent Industries Incorporated;WYNYARD;Assist Access/Maintain Employ;;;andrewp@vincentindustries.org.au;38 JACKSON ST, WYNYARD, TAS, 7325
Vision Australia Limited;KOOYONG;;611300847466;www.visionaustralia.org;patricia.woodcroft-lee@visionaustralia.org;454 Glenferrie Road, KOOYONG, VIC, 3144
Wardlaw & Brown Pty. Ltd.;RIVERSIDE LAUNCESTON;Assist-Life Stage, Transition;610409961844;www.wardlawandbrown.com;jane@wardlawandbrown.com;47 New Ecclestone Rd, RIVERSIDE LAUNCESTON, TAS, 7250
Wareing, David;GLENORCHY;Assess-Skill, Ability, Needs;"+610407045153
0000 000 000";www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Assist-Life Stage, Transition;+6104070451530 000 000 000;www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Behaviour Support;+6104070451530 000 000 000;www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Development-Life Skills;+6104070451530 000 000 000;www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Equipment Special Assess Setup;+6104070451530 000 000 000;www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Other Innovative Supports;+6104070451530 000 000 000;www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Therapeutic Supports;+6104070451530 000 000 000;www.therapytasmania.com.au;david@therapiststasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
Wattle Group Inc;MOWBRAY;Assist-Personal Activities;;;wattlegroupinc@bigpond.com;26 Mangin Street, MOWBRAY, TAS, 7248
;;Assist-Travel/Transport;;;wattlegroupinc@bigpond.com;26 Mangin Street, MOWBRAY, TAS, 7248
;;Development-Life Skills;;;wattlegroupinc@bigpond.com;26 Mangin Street, MOWBRAY, TAS, 7248
;;Participate Community;;;wattlegroupinc@bigpond.com;26 Mangin Street, MOWBRAY, TAS, 7248
Webb, Jessica;ROSNY PARK;Physical Wellbeing;;;;17 Bayfield Street, ROSNY PARK, TAS, 7018
wendy Roberts;BLACKMANS BAY;Assess-Skill, Ability, Needs;;;;ADDRESS CONFIDENTIAL
;;Behaviour Support;;;;ADDRESS CONFIDENTIAL
;;Early Childhood Supports;;;;ADDRESS CONFIDENTIAL
Wesley Mission Brisbane;CHERMSIDE;Interpret/Translate;611800246945;www.nicss.org.au;bookings@nicss.org.au;ADDRESS CONFIDENTIAL
WISE Employment Ltd;LAUNCESTON;Assist Access/Maintain Employ;"+610363456700
(00) 0000 0000";www.wiseemployment.com.au;deborah.quill@wiseemployment.com.au;53 Elizabeth Street, LAUNCESTON, TAS, 7250
;;Assist-Travel/Transport;+610363456700(00) 0000 0000;www.wiseemployment.com.au;deborah.quill@wiseemployment.com.au;53 Elizabeth Street, LAUNCESTON, TAS, 7250
;;Development-Life Skills;+610363456700(00) 0000 0000;www.wiseemployment.com.au;deborah.quill@wiseemployment.com.au;53 Elizabeth Street, LAUNCESTON, TAS, 7250
;;Participate Community;+610363456700(00) 0000 0000;www.wiseemployment.com.au;deborah.quill@wiseemployment.com.au;53 Elizabeth Street, LAUNCESTON, TAS, 7250
;;Physical Wellbeing;+610363456700(00) 0000 0000;www.wiseemployment.com.au;deborah.quill@wiseemployment.com.au;53 Elizabeth Street, LAUNCESTON, TAS, 7250
;;Training-Travel Independence;+610363456700(00) 0000 0000;www.wiseemployment.com.au;deborah.quill@wiseemployment.com.au;53 Elizabeth Street, LAUNCESTON, TAS, 7250
Woolley, Claire Louise;HOBART;;610362248881;;admin@familypsychservices.com.au;205 Davey St, HOBART, TAS, 7021
Wyndarra Centre Inc for Wyndarra Board of Management;SMITHTON;Assist-Life Stage, Transition;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
;;Assist-Personal Activities;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
;;Daily Tasks/Shared Living;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
;;Development-Life Skills;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
;;Household Tasks;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
;;Participate Community;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
;;Training-Travel Independence;;;wcentre@tassie.net.au;Circular Head Community Information & Resource, 43 Smith Street, SMITHTON, TAS, 7330
Youth Family and Community Connections Incorporated;DEVONPORT;;;;ros@yaff.com.au;81 Oldaker St, DEVONPORT, TAS, 7315
